,location,price,bathrooms,car_parks,property_type,furnishing,main_rooms,extra_room,corner,size
12001,KLCC,4570000,6.0,3.0,Condominium (Corner),fully,4,1,True,3973.0
12002,KLCC,2210000,2.0,2.0,Condominium,fully,2,0,False,1464.0
12003,KLCC,4568000,6.0,3.0,Condominium (Corner),fully,5,0,True,3973.0
12004,Bukit Jalil,695000,2.0,3.0,Condominium (Intermediate),unfurnished,3,1,False,1281.0
12005,Bukit Jalil,388000,2.0,1.0,Apartment (Intermediate),partly,3,0,False,818.0
12006,KLCC,1780000,5.0,2.0,Condominium (Corner),partly,4,1,True,2315.0
12007,Bukit Jalil,878000,2.0,2.0,Serviced Residence (Intermediate),fully,2,1,False,1025.0
12008,Bukit Jalil,1100000,2.0,2.0,Serviced Residence (Intermediate),partly,3,1,False,1170.0
12009,Bukit Jalil,1295000,2.0,2.0,Condominium,partly,3,1,False,1678.0
12010,Setapak,490000,3.0,2.0,2-sty Terrace/Link House (Intermediate),unfurnished,3,0,False,55.0
12011,Jalan Klang Lama (Old Klang Road),430000,2.0,1.0,Condominium (Intermediate),partly,3,0,False,1250.0
12012,Setapak,490000,3.0,2.0,2-sty Terrace/Link House (Intermediate),unfurnished,3,0,False,55.0
12018,Wangsa Maju,910000,4.0,2.0,Condominium,partly,3,0,False,1515.0
12020,Mont Kiara,2200000,5.0,3.0,Condominium (Corner),partly,4,1,True,3800.0
12023,Mont Kiara,1720000,4.0,2.0,Condominium (Corner),partly,3,1,True,2073.0
12024,Setapak,490000,2.0,2.0,Condominium,partly,4,0,False,1313.0
12025,Cheras,390000,2.0,1.0,Condominium (Intermediate),unfurnished,3,0,False,819.0
12028,Cheras,479000,2.0,1.0,Serviced Residence (Intermediate),unknown,3,0,False,958.0
12032,KL Sentral,2412450,3.0,1.0,Serviced Residence,partly,3,0,False,1787.0
12033,Cheras,450000,2.0,1.0,Condominium (Intermediate),unfurnished,4,0,False,1000.0
12036,Segambut,325000,2.0,1.0,Apartment (Corner),partly,3,0,True,1049.0
12038,Damansara,3880000,6.0,6.0,Bungalow (Corner),partly,5,1,True,7200.0
12039,Mont Kiara,1350000,4.0,2.0,Condominium,fully,3,2,False,2000.0
12040,Sri Hartamas,660000,2.0,2.0,Condominium,partly,3,0,False,1280.0
12041,Damansara Heights,1770000,2.0,1.0,Serviced Residence,partly,1,1,False,1152.0
12042,Taman Tun Dr Ismail,1550000,4.0,2.0,Serviced Residence (Corner),partly,3,1,True,1840.0
12043,Country Heights Damansara,707000,2.0,1.0,Serviced Residence,partly,2,1,False,924.0
12044,KLCC,980000,2.0,1.0,Serviced Residence (Intermediate),fully,1,0,False,610.0
12047,KLCC,1080000,1.0,1.0,Serviced Residence,fully,1,0,False,1123.0
12048,KL City,1078000,2.0,1.0,Serviced Residence,partly,2,0,False,625.0
12049,Country Heights Damansara,680000,2.0,1.0,Serviced Residence,partly,2,1,False,915.0
12051,Taman Tun Dr Ismail,950000,2.0,2.0,Serviced Residence (Intermediate),fully,3,0,False,1102.0
12052,KLCC,1100000,3.0,2.0,Serviced Residence,partly,2,1,False,1313.0
12053,Damansara Heights,2650000,4.0,3.0,Serviced Residence,partly,3,1,False,2077.0
12058,Damansara Heights,6264000,5.0,3.0,Serviced Residence (Penthouse),partly,4,1,False,3132.0
12059,KLCC,1615000,5.0,2.0,Condominium (Intermediate),fully,3,1,False,2098.0
12060,KLCC,2500000,5.0,2.0,Condominium (Intermediate),fully,3,1,False,2173.0
12061,Cheras,580000,2.0,2.0,Serviced Residence (Intermediate),partly,2,0,False,720.0
12062,Cheras,575000,2.0,2.0,Serviced Residence (Intermediate),partly,2,0,False,720.0
12065,Cheras,600000,2.0,2.0,Serviced Residence (Intermediate),partly,2,0,False,720.0
12066,Cheras,555000,2.0,2.0,Serviced Residence (Intermediate),partly,2,0,False,720.0
12067,Jalan Ipoh,550000,3.0,1.0,Condominium (Intermediate),partly,3,0,False,1276.0
12068,Bangsar,950000,2.0,1.0,Serviced Residence (Corner),fully,2,0,True,1192.0
12069,Damansara Heights,4300000,4.0,2.0,Bungalow (Intermediate),partly,4,1,False,7718.0
12075,Mont Kiara,1600000,2.0,1.0,Serviced Residence,unfurnished,2,0,False,1414.0
12078,Jalan Klang Lama (Old Klang Road),598000,2.0,1.0,Serviced Residence (Intermediate),partly,2,0,False,852.0
12079,Cheras,720000,2.0,2.0,Condominium (Intermediate),partly,3,1,False,1450.0
12080,Jalan Ipoh,1999888,1.0,4.0,Residential Land (Intermediate),unfurnished,1,0,False,9000.0
12082,Cheras,738000,3.0,2.0,2-sty Terrace/Link House (EndLot),unfurnished,4,0,False,70.0
12088,Mont Kiara,650000,2.0,1.0,Condominium,fully,2,0,False,1025.0
12089,Bukit Tunku (Kenny Hills),1000000,2.0,2.0,Condominium (Intermediate),partly,3,0,False,16500.0
12090,Mont Kiara,1080000,3.0,2.0,Condominium,fully,3,1,False,2036.0
12091,Mont Kiara,820000,2.0,1.0,Condominium,fully,3,0,False,1100.0
12092,Mont Kiara,1000000,4.0,2.0,Condominium,fully,3,1,False,1636.0
12093,Mont Kiara,940000,3.0,2.0,Condominium,fully,3,1,False,1699.0
12094,Mont Kiara,830000,3.0,2.0,Condominium,fully,3,0,False,1238.0
12095,Mont Kiara,1200000,4.0,2.0,Condominium (Corner),partly,4,0,True,2208.0
12097,Mont Kiara,650000,2.0,1.0,Condominium,fully,2,0,False,961.0
12098,Mont Kiara,830000,2.0,1.0,Condominium,fully,3,0,False,1228.0
12099,Mont Kiara,1250000,3.0,3.0,Condominium,partly,4,0,False,2147.0
12100,Mont Kiara,820000,2.0,1.0,Condominium,fully,3,1,False,1550.0
12101,Mont Kiara,1200000,4.0,2.0,Condominium,fully,4,0,False,2208.0
12102,Mont Kiara,1200000,4.0,3.0,Condominium,partly,4,0,False,2208.0
12103,Mont Kiara,1000000,3.0,2.0,Condominium,fully,3,1,False,1828.0
12104,Mont Kiara,1080000,3.0,2.0,Condominium,fully,3,1,False,2036.0
12106,Mont Kiara,1200000,4.0,2.0,Condominium (Corner),fully,3,1,True,1927.0
12107,Mont Kiara,1100000,3.0,2.0,Condominium,fully,3,1,False,1828.0
12108,Mont Kiara,800000,2.0,2.0,Condominium,fully,3,1,False,1399.0
12109,Dutamas,1540000,4.0,3.0,Condominium (Duplex),fully,4,1,False,2440.0
12110,Mont Kiara,1650000,3.0,3.0,Condominium (Penthouse),unfurnished,3,1,False,2870.0
12111,Mont Kiara,2350000,7.0,3.0,Condominium (Duplex),partly,5,1,False,3995.0
12112,Mont Kiara,2500000,5.0,4.0,Condominium (Penthouse),partly,4,1,False,4600.0
12113,Taman Tun Dr Ismail,780000,2.0,1.0,Condominium (Intermediate),unfurnished,3,0,False,1370.0
12115,Dutamas,830000,4.0,3.0,Condominium (Corner),fully,3,1,True,2111.0
12116,Taman Tun Dr Ismail,1500000,3.0,2.0,Condominium,unfurnished,4,0,False,2100.0
12118,Sungai Besi,379000,3.0,2.0,Serviced Residence,fully,3,0,False,1045.0
12122,Mont Kiara,600000,2.0,2.0,Condominium,fully,1,1,False,789.0
12123,Bukit Jalil,3000000,5.0,3.0,Condominium,fully,3,1,False,2250.0
12124,Bandar Menjalara,595000,2.0,4.0,2-sty Terrace/Link House (Intermediate),partly,3,0,False,55.0
12125,Damansara Heights,1748000,1.0,1.0,Serviced Residence,unfurnished,1,0,False,904.0
12126,Setapak,500000,2.0,2.0,Condominium,partly,4,0,False,1313.0
12128,Desa ParkCity,775000,1.0,2.0,Condominium (EndLot),partly,1,1,False,969.0
12129,Salak Selatan,638000,2.0,2.0,1.5-sty Terrace/Link House (Intermediate),fully,4,0,False,1391.0
12130,Bukit Bintang,1800000,2.0,1.0,Serviced Residence,unfurnished,2,0,False,912.0
12131,Bukit Bintang,2050000,2.0,1.0,Serviced Residence,fully,2,0,False,1098.0
12132,Bukit Bintang,1200000,1.0,1.0,Serviced Residence,fully,1,0,False,652.0
12133,Bukit Bintang,1657000,2.0,1.0,Serviced Residence,fully,2,0,False,891.0
12134,Segambut,750000,3.0,2.0,Condominium (Intermediate),partly,3,1,False,1250.0
12135,Mont Kiara,1890000,8.0,5.0,3-sty Terrace/Link House (Intermediate),unfurnished,5,1,False,93.0
12137,Mont Kiara,2500000,8.0,5.0,3-sty Terrace/Link House (Corner),unfurnished,5,1,True,93.0
12138,Kepong,2390000,7.0,5.0,3-sty Terrace/Link House (EndLot),unfurnished,5,1,False,93.0
12139,Mont Kiara,2390000,7.0,5.0,3-sty Terrace/Link House (EndLot),unfurnished,5,1,False,93.0
12140,Kepong,2500000,7.0,5.0,3-sty Terrace/Link House (Corner),unfurnished,5,1,True,93.0
12142,Brickfields,730000,2.0,1.0,Serviced Residence,fully,3,0,False,1200.0
12143,Sri Petaling,568000,2.0,2.0,Condominium (Corner),partly,3,1,True,1257.0
12144,Seputeh,668000,3.0,1.0,Condominium,partly,3,1,False,1461.0
12145,Wangsa Maju,900000,2.0,2.0,Condominium,unfurnished,3,0,False,1593.0
12148,Jalan Klang Lama (Old Klang Road),410000,2.0,1.0,Condominium (Corner),partly,3,0,True,1259.0
12149,Setapak,210000,2.0,1.0,Condominium (Intermediate),partly,3,0,False,802.0
12150,Jalan Klang Lama (Old Klang Road),428000,2.0,1.0,Condominium (EndLot),partly,3,0,False,1259.0
12151,Kepong,490000,2.0,1.0,Townhouse (Intermediate),unfurnished,3,0,False,1100.0
12153,Kepong,580000,3.0,1.0,1-sty Terrace/Link House (Intermediate),partly,4,0,False,75.0
12154,Ampang,860000,2.0,1.0,Condominium (Corner),fully,2,1,True,1151.0
12155,KLCC,1650000,4.0,2.0,Condominium (Corner),fully,3,1,True,2098.0
12156,Ampang Hilir,570000,2.0,1.0,Condominium (Corner),fully,3,0,True,1420.0
12157,KLCC,1450000,4.0,2.0,Condominium (Corner),fully,3,1,True,2098.0
12158,Desa ParkCity,1400000,4.0,3.0,Townhouse (Corner),partly,3,0,True,85.0
12159,Cheras,350000,2.0,1.0,Flat (Intermediate),partly,2,0,False,1100.0
12160,Titiwangsa,630000,2.0,1.0,Serviced Residence (Corner),partly,3,0,True,1100.0
12162,Cheras,800000,3.0,2.0,2-sty Terrace/Link House (Intermediate),partly,4,1,False,70.0
12163,Bangsar,810000,2.0,1.0,Serviced Residence (Corner),fully,1,1,True,800.0
12164,Kuchai Lama,450000,2.0,1.0,Serviced Residence (Corner),partly,3,0,True,936.0
12165,Bangsar,2000000,4.0,3.0,Serviced Residence (Corner),fully,3,1,True,2100.0
12167,Dutamas,1350000,4.0,2.0,Condominium (Corner),partly,3,2,True,2070.0
12168,KL City,1450000,3.0,2.0,Serviced Residence (Corner),fully,3,1,True,1582.0
12169,KL City,1350000,3.0,2.0,Serviced Residence (Corner),fully,3,0,True,1453.0
12170,Brickfields,610000,2.0,1.0,Serviced Residence,fully,3,0,False,1200.0
12171,City Centre,2150000,5.0,3.0,Condominium (Intermediate),partly,3,1,False,3750.0
12172,Bandar Menjalara,1450000,4.0,2.0,Townhouse (Intermediate),fully,4,0,False,2583.0
12173,KLCC,2080000,3.0,1.0,Serviced Residence (Corner),fully,3,1,True,1496.0
12174,Bukit Bintang,7500000,6.0,2.0,Serviced Residence (Corner),fully,4,1,True,4227.0
12177,KLCC,1100000,2.0,1.0,Condominium (Intermediate),fully,2,0,False,1140.0
12178,Ampang Hilir,2450000,4.0,2.0,Condominium (Intermediate),fully,3,1,False,2228.0
12179,Taman Tun Dr Ismail,1150000,3.0,2.0,1-sty Terrace/Link House (Intermediate),partly,3,1,False,80.0
12180,Taman Tun Dr Ismail,1200000,3.0,2.0,1-sty Terrace/Link House (Intermediate),partly,3,1,False,80.0
12181,Taman Tun Dr Ismail,3200000,4.0,8.0,1-sty Terrace/Link House (Corner),partly,4,0,True,5735.0
12182,Taman Tun Dr Ismail,2600000,4.0,3.0,1-sty Terrace/Link House (Corner),fully,5,0,True,6000.0
12183,KL Sentral,1550000,1.0,1.0,Serviced Residence (Corner),unfurnished,2,0,True,1259.0
12184,Cheras,378000,2.0,1.0,Apartment (Corner),partly,3,0,True,837.0
12186,Bandar Menjalara,620000,2.0,2.0,2-sty Terrace/Link House (Intermediate),partly,3,0,False,55.0
12187,Bandar Menjalara,600000,2.0,2.0,2-sty Terrace/Link House (Intermediate),partly,3,0,False,55.0
12188,Segambut,230000,2.0,1.0,Apartment (Corner),partly,3,0,True,910.0
12189,Jalan Kuching,460000,2.0,1.0,Apartment (Corner),partly,3,0,True,1221.0
12190,Sunway SPK,1480000,4.0,2.0,Townhouse (Intermediate),partly,3,1,False,2336.0
12191,Salak Selatan,597000,2.0,2.0,Serviced Residence,partly,3,0,False,1122.0
12193,Bangsar South,1421199,3.0,2.0,Serviced Residence,partly,3,0,False,1441.0
12194,Cheras,620000,3.0,2.0,2-sty Terrace/Link House (Intermediate),partly,5,0,False,1650.0
12195,Jalan Kuching,470000,2.0,1.0,Condominium (Corner),partly,2,0,True,1000.0
12196,Jalan Kuching,600000,2.0,1.0,Condominium (Corner),partly,3,1,True,1200.0
12198,Bukit Jalil,385000,2.0,1.0,Apartment (Corner),partly,3,0,True,952.0
12199,Bukit Jalil,288000,2.0,1.0,Apartment,fully,2,0,False,723.0
12200,Bukit Jalil,640000,2.0,3.0,Condominium,partly,4,0,False,1212.0
12201,Bukit Jalil,450000,2.0,1.0,Condominium,fully,3,0,False,1252.0
12205,Mont Kiara,1080000,1.0,1.0,Serviced Residence,fully,2,0,False,932.0
12206,Sri Hartamas,3680000,5.0,2.0,3.5-sty Terrace/Link House,partly,4,2,False,2000.0
12208,Sri Petaling,380000,2.0,1.0,Condominium,fully,3,0,False,1129.0
12209,Sri Petaling,435000,2.0,1.0,Condominium (Corner),fully,3,0,True,1200.0
12210,City Centre,1530000,1.0,1.0,Serviced Residence,fully,1,0,False,1131.0
